issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,existence,property,executive,issue_type,status
TIKA-2686,3,0.9992,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2662,4,0.9238,0.0002,0.0002,0.0002,0.0002,0.9238,0.0002,0.0751,True,False,False,Task,Resolved
TIKA-2585,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-2577,4,0.5447,1e-04,1e-04,1e-04,0.4548,0.5447,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2514,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,False,True,False,Improvement,Open
TIKA-2499,4,0.5162,0.0,0.0,0.0119,0.4718,0.5162,0.0,0.0,False,True,True,Bug,Resolved
TIKA-2434,4,0.9985,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,False,True,True,Bug,Open
TIKA-2402,0,0.9979,0.9979,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Sub-task,Resolved
TIKA-2400,4,0.9979,0.0004,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,True,True,False,Sub-task,Resolved
TIKA-2398,4,0.9996,1e-04,1e-04,1e-04,1e-04,0.9996,1e-04,1e-04,True,False,True,Improvement,Open
TIKA-2369,1,0.9988,0.0002,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Bug,Open
TIKA-2349,4,0.5574,0.2234,1e-04,1e-04,0.2186,0.5574,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-2322,6,0.9989,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9989,True,False,True,Improvement,Resolved
TIKA-2263,1,0.9994,1e-04,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,True,Improvement,Open
TIKA-2222,1,0.9995,1e-04,0.9995,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-2075,1,0.996,0.0007,0.996,0.0007,0.0007,0.0007,0.0007,0.0007,True,False,False,Improvement,In Progress
TIKA-2021,0,0.9988,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,False,Improvement,Resolved
TIKA-2016,1,0.7254,0.0006,0.7254,0.0006,0.0006,0.2718,0.0006,0.0006,True,False,True,New Feature,Resolved
TIKA-1993,1,0.5378,0.4608,0.5378,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,True,New Feature,Resolved
TIKA-1978,0,0.9986,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-1954,1,0.9978,0.0004,0.9978,0.0004,0.0004,0.0004,0.0004,0.0004,True,False,False,Sub-task,Open
TIKA-1913,1,0.9988,0.0002,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,New Feature,Resolved
TIKA-1909,4,0.9972,0.0005,0.0005,0.0005,0.0005,0.9972,0.0005,0.0005,True,False,False,Improvement,Resolved
TIKA-1903,0,0.9972,0.9972,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,False,True,False,Improvement,Open
TIKA-1814,4,0.8331,1e-04,1e-04,1e-04,0.1663,0.8331,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-1797,1,0.9989,0.0002,0.9989,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Sub-task,Open
TIKA-1744,4,0.9982,0.0003,0.0003,0.0003,0.0003,0.9982,0.0003,0.0003,True,False,True,Sub-task,Resolved
TIKA-1734,4,0.9988,0.0002,0.0002,0.0002,0.0002,0.9988,0.0002,0.0002,True,False,False,Sub-task,Resolved
TIKA-1722,4,0.9993,1e-04,1e-04,1e-04,1e-04,0.9993,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-1691,1,0.9194,0.0,0.9194,0.0804,0.0,0.0,0.0,0.0,True,False,True,New Feature,Open
TIKA-1683,4,0.9965,0.0006,0.0006,0.0006,0.0006,0.9965,0.0006,0.0006,False,True,False,New Feature,Resolved
TIKA-1680,4,0.9996,1e-04,1e-04,1e-04,1e-04,0.9996,1e-04,1e-04,True,False,False,Improvement,Open
