issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob
TIKA-1247,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002
TIKA-1220,5,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002
TIKA-1208,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002
TIKA-1207,5,0.994,0.0007,0.0007,0.0007,0.0007,0.0007,0.994,0.0007,0.0007,0.0007,0.0007
TIKA-1149,8,0.9172,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9172,0.0819
TIKA-1144,2,0.9988,0.0001,0.0001,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1140,9,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987
TIKA-1075,9,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9982
TIKA-43,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006
TIKA-944,7,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981,0.0002,0.0002
TIKA-942,6,0.999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.999,0.0001,0.0001,0.0001
TIKA-781,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-932,6,0.4111,0.0003,0.0003,0.0003,0.0003,0.0003,0.3241,0.4111,0.2628,0.0003,0.0003
TIKA-930,6,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001
TIKA-929,0,0.9978,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-928,6,0.5059,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.5059,0.0002,0.4927,0.0002
TIKA-927,0,0.9984,0.9984,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-917,5,0.9963,0.0004,0.0004,0.0004,0.0004,0.0004,0.9963,0.0004,0.0004,0.0004,0.0004
TIKA-904,1,0.4922,0.0003,0.4922,0.2464,0.0003,0.0003,0.2592,0.0003,0.0003,0.0003,0.0003
TIKA-884,8,0.6676,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.331,0.0002,0.6676,0.0002
